Title,Artist,Intensity
Sea Change, Stephan Moccio,0
Pour toujours, Bernadette Boulet,3
A SONG, Rui Massena,1
Ocean And 17th, Lummus Park,3
Faded Dreams, Aaron Lansing,2
Freddie's Theme, Stephan Moccio,2
Lost For Words, Leslie Miles,5
Faller Sno, Matti Bye,3
Supine, Teodor Wolgers,2
Sunday, Michael Borstlap,4
Timelapse, Minnie Scotlanti,3
Preludium, Karin Borg,2
A Perceptual Process, Dominique Marais,3
Endymion, Reka loescu,2
Lillian, Jacob David,3
Fractures, Stephan Moccio,2
Closer, Matt Stewart- Evans,2
All that Glitters, Mino Monterosso,4
Reveries, Ava Cerasoli,4
Slow Sorrow, Minnie Aoyama,4
As We Fall In Love Again, Joy Meyer-Williams,4
Episode, Charolette Funke,2
Softly Spoken, Atticus Laines,3
October Stroll, Jutila,5
A Perceptual Process, Dominique Marais,5
Preludium, Karin Borg,3
Air, Arelius,3
